# 角色关系库
# 格式：ID|名称|emoji|描述

# ===== 通用等级 =====
0|陌生人|👤|初次见面，互不了解
1|认识|👋|知道对方的名字和基本身份
2|熟人|🤝|有过交集，但关系较浅
3|朋友|👫|可以正常交流，有一定信任
4|暧昧|💕|对对方有好感，关系微妙
5|恋人|💖|开始交往，确认恋爱关系
6|知己|💜|红颜/蓝颜知己
7|情人|💘|亲密但未确立关系
8|伴侣|💑|稳定的恋爱关系
9|配偶|🏩|已婚配偶

# ===== 恋爱关系 =====
10|女朋友|💑|女性恋人
11|男朋友|💑|男性恋人
12|未婚妻|💍|已订婚的女性
13|未婚夫|💍|已订婚的男性
14|妻子|🏩|婚姻关系的女性
15|丈夫|🏩|婚姻关系的男性
16|前女友|💔|曾经的女友
17|前男友|💔|曾经的男友
18|暗恋对象|🥰|单相思的对象

# ===== 血缘关系 - 父母子女 =====
19|父亲|👨|生父
20|母亲|👩|生母
21|儿子|👦|儿子
22|女儿|👧|女儿
23|养父|👨|养父
24|养母|👩|养母
25|继父|👨|继父
26|继母|👩|继母

# ===== 血缘关系 - 兄弟姐妹 =====
27|哥哥|👨|兄长
28|姐姐|👩|姐姐
29|弟弟|👦|弟弟
30|妹妹|👧|妹妹
31|义兄|👨|结拜兄长
32|义姐|👩|结拜姐姐
33|义弟|👦|结拜弟弟
34|义妹|👧|结拜妹妹

# ===== 血缘关系 - 祖辈 =====
35|爷爷|👴|祖父
36|奶奶|👵|祖母
37|外公|👴|外祖父
38|外婆|👵|外祖母
39|曾祖父|👴|曾祖父
40|曾祖母|👵|曾祖母
41|孙子|👦|孙子
42|孙女|👧|孙女
43|外孙|👦|外孙
44|外孙女|👧|外孙女

# ===== 亲戚关系 =====
45|叔叔|🧔|叔伯
46|阿姨|👵|姑姨
47|舅舅|👨|舅父
48|姨妈|👩|姨母
49|堂兄|👨|堂兄弟姐妹
50|表姐|👩|表兄弟姐妹
51|侄子|👦|侄子
52|外甥|👦|外甥
53|侄女|👧|侄女
54|外甥女|👧|外甥女
55|姑妈|👩|父亲的姐妹
56|姑父|👨|姑妈的丈夫
57|伯父|👨|父亲的兄长
58|伯母|👩|伯父的妻子

# ===== 师生关系 =====
59|老师|📚|教师
60|学生|📖|学生
61|导师|🎓|学术导师
62|徒弟|📚|徒弟/学徒
63|学长|👨|前辈学长
64|学姐|👩|前辈学姐
65|学弟|👦|后辈学弟
