# 性幻想预设模板
# 格式：名称|描述

[场景幻想]
海边度假|在海边度假时的浪漫幻想
泳池派对|泳池派对的激情场景
酒店大堂|酒店大堂的偶遇
豪华游艇|游艇上的浪漫时光
私人飞机|飞机上的亲密时刻
摩天大楼|高楼之上的刺激体验
森林小屋|森林中的温馨小屋
山顶日出|山顶看日出的浪漫
星空露营|露营看星星的夜晚
雨中共伞|雨中共伞的浪漫
咖啡馆|咖啡馆的温馨偶遇
图书馆|图书馆的安静时光
电影院|电影院的亲密时刻
餐厅约会|烛光晚餐的浪漫
酒吧邂逅|酒吧的激情邂逅
健身房|健身房的吸引力
温泉浴场|温泉中的放松时刻
SPA会所|SPA的舒适体验
美容院|美容院的放松时光
商场购物|一起购物的乐趣
游乐园|游乐园的欢乐时光
海滩日落|海滩看日落的浪漫
月光海滩|月光下的海滩漫步
日出时分|清晨的阳光时刻
夜晚海边|夜晚海边的浪漫
樱花树下|樱花飘落的浪漫
枫叶林|秋日枫叶的浪漫
雪中小屋|雪中温馨小屋
花海中|花海的浪漫场景
草原骑马|草原骑马的自由
山谷幽谷|山谷中的幽静
瀑布旁|瀑布旁的清新
湖泊边|湖边的宁静
小船之上|小船上的浪漫
火车之旅|火车上的偶遇
公交车|公交车上的靠近
地铁里|地铁里的邂逅
电梯间|电梯间的亲密
楼梯间|楼梯间的激情
停车场|停车场的刺激
车内浪漫|车内的私密时刻
衣帽间|衣帽间的惊喜
储藏室|储藏室的秘密
阳台之上|阳台上的风景
天台之夜|天台上的星空
花园中|花园中的浪漫
庭院里|庭院中的温馨
泳池里|泳池中的清凉
浴室中|浴室中的浪漫
厨房里|厨房中的亲密
卧室里|卧室中的温馨
客厅里|客厅中的浪漫
书房里|书房中的静谧
琴房中|琴房中的优雅
画室里|画室中的艺术
舞厅中|舞厅中的激情
KTV包厢|KTV的欢乐
游戏厅|游戏厅的乐趣
网咖|网咖的时光
书店|书店的偶遇
花店|花店的浪漫
蛋糕店|蛋糕店的甜蜜
巧克力店|巧克力店的浓郁
甜品店|甜品店的温馨
咖啡店|咖啡店的醇香
茶馆|茶馆的清雅
酒吧|酒吧的热烈
夜店|夜店的激情
 Disco|舞池的狂欢
音乐节|音乐节的狂热
演唱会|演唱会的激情
剧场|剧场的浪漫
展览馆|展览馆的艺术
博物馆|博物馆的历史
动物园|动物园的乐趣
海洋馆|海洋馆的浪漫
植物园|植物园的清新
游轮|游轮的奢华
飞机客舱|飞机上的时光
火车卧铺|火车卧铺的温馨
帐篷里|帐篷中的夜晚
树屋|树屋的新奇
城堡|城堡的梦幻
宫殿|宫殿的华丽
寺庙|寺庙的宁静
教堂|教堂的神圣
海边礁石|海边礁石的刺激
岩石山洞|山洞中的神秘

[情节幻想]
初次相遇|美好的一见钟情
久别重逢|思念后的相聚
雨中追逐|雨中的浪漫追逐
英雄救美|危机时刻的相遇
误会消除|误解后的深情
表白时刻|鼓起勇气的告白
约会第一天|美好的第一次约会
纪念日惊喜|特别日子的惊喜
生日派对|生日时的浪漫
表白成功|收获爱情的时刻
求婚场景|浪漫的求婚仪式
婚礼现场|幸福的婚礼时刻
蜜月旅行|新婚的甜蜜旅行
重归于好|和好后的珍惜
生死离别|感人至深的别离
奇迹重逢|意想不到的相遇
